EntanglementId,EGNo,EventNo,StartDate,EndDate,EntanglementComment
125,1166,1,01/01/1900,8/18/1981,Unknown age male; unknown timeframe; MINOR
126,1163,1,04/02/1984,03/09/1985,4 year old female; < 1 year timeframe; MINOR
127,1163,2,6/19/1986,8/29/1986,5 year old female; < 3 month timeframe; GEAR; MODERATE
128,1161,1,01/01/1900,7/31/1983,2 year old male; < 3 year timeframe; MODERATE
129,1160,1,01/01/1900,8/19/1984,Unknown age female; unknown timeframe; MINOR
130,1160,3,9/16/1996,08/03/1997,Adult female; < 1 year timeframe; MINOR
131,1159,1,01/01/1900,09/12/1981,Unknown age and sex; unknown timeframe; MINOR
132,1203,1,09/06/1997,6/27/1999,Adult male; < 2 year timeframe; MINOR
133,1207,1,01/01/1900,09/12/1990,Adult male; unknown timeframe; MINOR
134,1207,2,08/06/1996,08/02/1997,Adult male; < 1 year timeframe; MINOR
135,1207,3,8/15/1998,5/14/1999,Adult male; < 9 month timeframe; MODERATE
136,1209,1,01/01/1900,3/20/1982,Unknown age female; unknown timeframe; MINOR
137,1209,2,09/02/1999,08/01/2000,Adult female; < 1 year timeframe; MINOR
138,1217,1,01/01/1900,8/18/1982,Unknown age and sex; unknown timeframe; MINOR
139,1218,1,8/21/1985,9/18/1986,Unknown age male; < 13 month timeframe; MINOR
140,1218,2,10/08/1992,08/03/1997,Adult male; > 3 year timeframe; MINOR
141,1222,1,01/01/1900,9/20/1982,Unknown age female; unknown timeframe; MINOR
142,1222,2,9/25/1982,7/31/1985,Unknown age female; < 3 year timeframe; MINOR
143,1223,1,01/01/1900,08/06/1982,Unknown age female; unknown timeframe; MINOR
144,1223,2,10/19/1982,03/11/1985,Unknown age female; < 3 year timeframe; MINOR
145,1223,3,10/01/1989,08/07/1992,Adult female; < 3 year timeframe; MINOR
146,1226,1,01/01/1900,08/11/1982,Unknown age male; unknown timeframe; MINOR
147,1227,1,01/01/1900,08/06/1982,Unknown age male; unknown timeframe; MINOR
148,1233,1,01/01/1900,05/10/1981,Unknown age female; unknown timeframe; MINOR
149,1238,1,04/08/1998,10/10/1998,Adult male; < 7 month timeframe; MINOR
150,1238,2,6/25/2001,10/25/2001,Adult male; < 5 month timeframe; GEAR; DEAD; SEVERE
151,1239,1,01/01/1900,08/11/1982,1 year old male; < 2 year timeframe; MINOR
152,1239,2,10/18/1982,8/28/1987,6 year old male; > 3 year timeframe; MODERATE
153,1240,1,8/20/1995,7/22/1997,Adult female; < 2 year timeframe; MINOR
